id,text_clean,polarization
eng_973938b90b0ff5d87d35a582f83f5c89,defend imperialism dnd chat,0
eng_07dfd4600426caca6e2c5883fcbea9ea,still play follow rachel maddie msnbc,0
eng_f14519ff2302b6cd47712073f13bc461,senate gov 3 group republican democrat people democrats little power organize people,0
eng_e48b7e7542faafa544ac57b64bc80daf,abc md david anderson say additional fund would provide improved financial certainty stability continue investment abc critical support democratic process reflect unique culture build national identity thru australian story peter dutton say,0
eng_7c581fb77bce8033aeba3d6dbd6273eb,bad people conservative value make one paul honest question,0
eng_bb7b41ffa6c56b52f8bbeb21a4c7aa77,enemy people phrase coin used stalinist show trial soviet union no place democratic society,0
eng_3a6672eb8e74090ad8884ee4f3343dc0,also voice support elon musk tommy robinson alternative germany farright antiimmigration party yeah complete mystery,0
eng_2c77bd1f661480f247fad599ac99bd17,disagree imperialism supporter imperialism,0
eng_3b91189f79ee9b5423000bb60460491b,italian national identity totally oversold meme culture relaitvely new concept even speak different languagesdialects italian language modern make construct even pizza not italy always think napoli style one,0
eng_c39ae8ec15297d3528d8c2a5dd7e2753,no ethnic cleansing qudsday qudsmainissue,0
eng_b575d9f329e7218d383cbb5b57c86c8b,remember frontier rebellion everywhere even small act insurrection push line forward karis nemik andor,0
eng_e635bb7c1cfdf866cd928cf2e2a896fe,save ukraine nato expansion mean right,0
eng_393b1271c37b5f68ce43a7a44de16800,talk reach gaza ceasefire hostage release deal israel hamas 90 complete key issue remain need bridge senior palestinian official involve talk tell bbc worldrss bsky social,0
eng_f9fb8e5f6a6d52db2ce1a8dab313d656,another argument need even strict sanction russian economy even support ukraine resist russian aggression bsky social wapo st3ztls95,0
eng_7fbd07aa5d98d181ffc5d6c9870de466,well say multiculturalism enriches societies figure like farage thrive fear misinformation call divisiveness celebrate diversity instead,0
eng_3b09558d9e977c4c958c8d175e3cc121,1 million ukrainian refugee would 7 3 million u refugee adjust population,0
eng_d7d39ad4bdca60b8d467298169f61b8b,1 3 republican stamford 40member board rep,0
eng_fb72eabaced73718385b5f2dc94fe878,100 palestinian gaza 95 palestinian west bank live palestinian law,0
eng_1d9699487ebdef6f80f1587de026c5d0,100 year later zeev jabotinskys hawkish zionism,0
eng_03a78ff33d4f1c401546225f97e7a889,12 source cnn source cnn business source cnn business source cnn business source cnn business,0
eng_362fe7b3e30c558ef644b10c87b46dbe,15 candidate file spot gop primary ballot marchthe lufkin daily,0
eng_75ff276cd82977b8b0c6c462b85f84f0,17 political cartoon tackle donald trump,0
eng_858f929d068790655cc585965a87f5aa,1ss would no gaza west bank,0
eng_54d8ee27d2e0369a3d750a074824e166,2 iof soldier wound palestinian throw ied jeep west bank,0
eng_c21ee35c53613feb2a574c9ed41091f0,2020 election swing state big tech cnn msnbc cbs wikipedia youtube part 2 midterm,0
eng_51c468a8fb151dba1b31ebbefa786e16,25 ukraine territory 80 ukraine wealthproducing sector enough bonus denazification,0
eng_790e19914ae0900675fc9d41747b4a37,3 ohio republican accuse share campaign treasurer,0
eng_a9f5277ef85506404cedd912e1e595e4,4 dems 2 republican luzerne county council seatstimes leader,0
eng_2ca265e5fb6608d566317413ebc3358e,47th district republican kick kent cornucopia,0
eng_69ebe50510087fb8c06cd12283a88ef8,5 takeaway republican first impeachment hearing,0
